ID	eggNOG OGs	KEGG_ko	KEGG_Pathway	KEGG_Module	PFAMs	kofam_KO	merged_KO	dbCAN.mod	dbCAN.enzclass
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00089	COG1066	K04485	-	-	AAA,AAA_16,AAA_19,AAA_22,AAA_24,AAA_25,AAA_5,ABC_tran,ATPase,CbiA,ChlI,DUF2075,DnaB_C,GvpD,KaiC,Lon_C,Rad51,RecA	-	K04485	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00090	COG1623	K07067	-	-	DisA-linker,DisA_N,HHH,HHH_2,HHH_5	-	K07067	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00091	COG4956	-	-	-	PIN,PIN_4,Rhomboid,TRAM	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00092	COG3119	-	-	-	-	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00093	COG1917,COG2207	-	-	-	AraC_binding,Cupin_1,Cupin_2,HTH_18,HTH_AraC	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00094	COG2730	-	-	-	Cellulase	-	-	-	GH5,GH5_44
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00095	COG3507	K01198	ko00520,ko01100,map00520,map01100	-	Glyco_hydro_43	-	K01198	-	GH43,GH43_11
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00096	COG2211	K03292	-	-	MFS_1,MFS_1_like,MFS_2,Sugar_tr	-	K03292	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00097	COG2390	-	-	-	Crp,HTH_23,HTH_24,HTH_28,HTH_Crp_2,HTH_IclR,MarR,MarR_2,Sigma70_r4,Sugar-bind	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00098	COG1071	K00161,K21416	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230	M00307	DXP_synthase_N,E1_dh,TPP_enzyme_C,Transketolase_N	-	K00161,K21416	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00099	COG0022	K00162,K21417	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230	M00307	Transket_pyr,Transketolase_C	-	K00162,K21417	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00100	COG0508	K00627	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200	M00307	2-oxoacid_dh,Biotin_lipoyl,E3_binding	-	K00627	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00101	COG1249	K00382	ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00036,M00307,M00532	3HCDH_N,Biotin_lipoyl,E3_binding,FAD_binding_2,FAD_oxidored,GIDA,HI0933_like,K_oxygenase,NAD_binding_8,Pyr_redox,Pyr_redox_2,Pyr_redox_3,Pyr_redox_dim,UDPG_MGDP_dh_N	-	K00382	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00102	COG1221,COG1508,COG1762,COG3933	-	-	-	AAA,AAA_2,AAA_5,EIIA-man,Mg_chelatase,PRD,PTS_EIIA_2,Sigma54_DBD,Sigma54_activat	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00103	COG1762	K02773	ko00052,ko01100,ko02060,map00052,map01100,map02060	M00279	PTS_EIIA_2	-	K02773	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00104	COG3414	K02774	ko00052,ko01100,ko02060,map00052,map01100,map02060	M00279	PTS_IIB	-	K02774	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00105	COG3775	K02775	ko00052,ko01100,ko02060,map00052,map01100,map02060	M00279	EIIC-GAT	-	K02775	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00106	2E35G	-	-	-	-	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00107	COG0235	K01628,K03077	ko00040,ko00051,ko00053,ko01100,ko01120,map00040,map00051,map00053,map01100,map01120	M00550	Aldolase_II	-	K01628,K03077	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00108	COG0095	K03800	ko00785,ko01100,map00785,map01100	-	BPL_LplA_LipB,Lip_prot_lig_C	-	K03800	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00109	COG1211	K00991	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	CTP_transf_3,IspD,NTP_transf_3,NTP_transferase	-	K00991	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00110	COG0245	K01770,K12506	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	CTP_transf_3,IspD,NTP_transf_3,NTP_transferase,YgbB	-	K01770,K12506	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00112	COG0442	K01881	ko00970,map00970	M00359,M00360	HGTP_anticodon,tRNA-synt_2b,tRNA_edit	-	K01881	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00113	COG0442	K01881	ko00970,map00970	M00359,M00360	HGTP_anticodon,ProRS-C_1,tRNA-synt_2b	-	K01881	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00114	COG0008	K01885,K09698	ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120	M00121,M00359,M00360	tRNA-synt_1c	-	K01885,K09698	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00116	COG0215	K01883	ko00970,map00970	M00359,M00360	Cir_Bir_Yir,DALR_2,tRNA-synt_1,tRNA-synt_1e,tRNA-synt_1f,tRNA-synt_1g	-	K01883	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00117	COG1939	K11145	-	-	Ribonuclease_3	-	K11145	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00118	COG1351	K03465	ko00240,ko00670,ko01100,map00240,map00670,map01100	-	Thy1	-	K03465	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00119	COG0566	K03218	-	-	Ribosomal_L7Ae,SpoU_methylase,SpoU_sub_bind	-	K03218	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00120	COG3688	K06962	-	-	NYN_YacP	-	K06962	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00121	COG1595	K03091	-	-	GerE,HTH_16,HTH_23,Sigma70_ECF,Sigma70_r2,Sigma70_r4,Sigma70_r4_2	-	K03091	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00122	COG0050	K02358	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3,MMR_HSR1	-	K02358	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00125	COG0250	K02601	-	-	KOW,NusG	-	K02601	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00126	COG0080	K02867	ko03010,map03010	M00178,M00179	Ribosomal_L11,Ribosomal_L11_N	-	K02867	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00127	COG0081	K02863	ko03010,map03010	M00178,M00179	Ribosomal_L1	-	K02863	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00129	COG0244	K02864	ko03010,map03010	M00178,M00179	Ribosomal_L10	-	K02864	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00130	COG0222	K02935	ko03010,map03010	M00178	Ribosomal_L12,Ribosomal_L12_N	-	K02935	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00131	COG1028	-	-	-	Epimerase,KR,adh_short,adh_short_C2	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00132	COG0085	K03043	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_45,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7	-	K03043	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00133	COG0086	K03046	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5	-	K03046	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00134	COG0048	K02950	ko03010,map03010	M00178,M00179	Ribosom_S12_S23	-	K02950	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00135	COG0049	K02992	ko03010,map03010	M00178,M00179	Ribosomal_S7	-	K02992	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00136	COG0480	K02355	-	-	EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2,MMR_HSR1	-	K02355	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00137	COG0050	K02358	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3,MMR_HSR1	-	K02358	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00138	COG0051	K02946	ko03010,map03010	M00178,M00179	Ribosomal_S10	-	K02946	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00139	COG0087	K02906	ko03010,map03010	M00178,M00179	Ribosomal_L3	-	K02906	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00140	COG0088	K02926	ko03010,map03010	M00178	Ribosomal_L4	-	K02926	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00142	COG0090	K02886	ko03010,map03010	M00178,M00179	Ribosomal_L2,Ribosomal_L2_C	-	K02886	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00144	COG0091	K02890	ko03010,map03010	M00178,M00179	Ribosomal_L22	-	K02890	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00145	COG0092	K02982	ko03010,map03010	M00178,M00179	KH_2,KH_4,Ribosomal_S3_C	-	K02982	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00146	COG0197	K02878	ko03010,map03010	M00178	Ribosomal_L16	-	K02878	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00149	COG0093	K02874	ko03010,map03010	M00178,M00179	Ribosomal_L14	-	K02874	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00150	COG0198	K02895	ko03010,map03010	M00178,M00179	KOW,ribosomal_L24	-	K02895	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00151	COG0094	K02931	ko03010,map03010	M00178,M00179	Ribosomal_L5,Ribosomal_L5_C	-	K02931	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00152	COG0199	K02954	ko03010,map03010	M00178,M00179	Ribosomal_S14	-	K02954	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00153	COG0096	K02994	ko03010,map03010	M00178,M00179	Ribosomal_S8	-	K02994	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00154	COG0097	K02933	ko03010,map03010	M00178,M00179	Ribosomal_L6	-	K02933	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00155	COG0256	K02881	ko03010,map03010	M00178,M00179	Ribosomal_L18p	-	K02881	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00156	COG0098	K02988	ko03010,map03010	M00178,M00179	Ribosomal_S5,Ribosomal_S5_C	-	K02988	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00158	COG0200	K02876	ko03010,map03010	M00178,M00179	Ribosomal_L18e,Ribosomal_L27A	-	K02876	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00159	COG0201	K03076	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	SecY	-	K03076	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00160	COG0563	K00939	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130	M00049	AAA,AAA_17,AAA_18,AAA_33,ADK,ADK_lid,Cytidylate_kin	-	K00939	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00161	COG0024	K01265	-	-	Peptidase_M24	-	K01265	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00165	COG0099	K02952	ko03010,map03010	M00178,M00179	H2TH,Ribosomal_S13	-	K02952	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00166	COG0100	K02948	ko03010,map03010	M00178,M00179	Ribosomal_S11	-	K02948	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00167	COG0522	K02986	ko03010,map03010	M00178,M00179	Ribosomal_S4,S4	-	K02986	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00168	COG0202	K03040	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	HHH_5,RNA_pol_A_CTD,RNA_pol_A_bac,RNA_pol_L	-	K03040	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00169	COG0203	K02879	ko03010,map03010	M00178	Ribosomal_L17	-	K02879	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00170	COG1122	K16786,K16787	ko02010,map02010	M00582	AAA_21,AAA_22,AAA_29,ABC_ATPase,ABC_tran,SMC_N	-	K16786,K16787	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00171	COG1122	K16786,K16787	ko02010,map02010	M00582	AAA_15,AAA_21,ABC_tran,Arch_ATPase,SMC_N	-	K16786,K16787	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00172	COG0619	K16785	ko02010,map02010	M00582	CbiQ	-	K16785	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00173	COG0101	K06173	-	-	DUF2344,PseudoU_synth_1	-	K06173	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00174	COG0102	K02871	ko03010,map03010	M00178,M00179	Ribosomal_L13	-	K02871	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00175	COG0103	K02996	ko03010,map03010	M00178,M00179	Ribosomal_S9	-	K02996	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00176	COG0860	K01448	ko01503,map01503	M00727	Amidase_3	-	K01448	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00203	COG0436	K00812,K10907	ko00220,ko00250,ko00270,ko00330,ko00350,ko00360,ko00400,ko00401,ko00950,ko00960,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map00250,map00270,map00330,map00350,map00360,map00400,map00401,map00950,map00960,map01100,map01110,map01130,map01210,map01230	-	Aminotran_1_2,Aminotran_5,Beta_elim_lyase,Cys_Met_Meta_PP,DegT_DnrJ_EryC1,OKR_DC_1	-	K00812,K10907	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00204	COG1328	K21636	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	ATP-cone,DUF3029,Gly_radical,Intein_splicing,LAGLIDADG_3,NRDD	-	K21636	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00205	COG0602	K04068	-	-	Fer4_12,Fer4_14,Radical_SAM	-	K04068	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00243	COG1077	K03569	-	-	Actin,DDR,EutA,FtsA,HSP70,MreB_Mbl,StbA	-	K03569	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00244	COG0764	K02372	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	4HBT,FabA,MaoC_dehydratas	-	K02372	-	CE11
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00245	2ADZG	-	-	-	DUF1256	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00247	COG0192	K00789	ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230	M00034,M00035,M00368,M00609	S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N,YgbB	-	K00789	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00248	COG3949	-	-	-	-	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00249	COG0272,COG0507	K03581	ko03440,map03440	-	AAA,AAA_11,AAA_19,AAA_22,AAA_30,DUF2075,HHH_2,HHH_4,HHH_5,Helicase_RecD,Herpes_Helicase,NTPase_1,PIF1,T2SSE,TrwB_AAD_bind,UvrD-helicase,UvrD_C,UvrD_C_2,Viral_helicase1	-	K03581	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00250	COG1040	K02242	-	M00429	DZR,Pribosyltran,UPRTase	-	K02242	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00251	COG1762,COG3711	K02538	-	-	HTH_11,HTH_24,HTH_DeoR,HTH_Mga,Mga,PRD,PTS_EIIA_2	-	K02538	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00252	COG1447	K02759	ko00500,ko02060,map00500,map02060	M00275	PTS_IIA	-	K02759	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00253	COG1440	K02760	ko00500,ko02060,map00500,map02060	M00275	PTS_IIB	-	K02760	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00254	COG1455	K02761	ko00500,ko02060,map00500,map02060	M00275	MCPsignal,PTS_EIIC	-	K02761	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00255	COG1978	-	-	-	GRDB	-	-	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00256	COG1446	K01444,K13051	ko00511,ko04142,map00511,map04142	-	Asparaginase_2	-	K01444,K13051	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00257	COG0624	K01439	ko00300,ko01100,ko01120,ko01230,map00300,map01100,map01120,map01230	M00016	M20_dimer,Peptidase_M20,Peptidase_M28	-	K01439	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00258	COG3142	K06201	-	-	CutC,PRAI	-	K06201	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00259	COG1544	K05808	-	-	Ribosom_S30AE_C,Ribosomal_S30AE	-	K05808	-	-
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968.1|CDIF1296T_00260	COG0653	K03070	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	DEAD,Helicase_C,SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW	-	K03070	-	-
